evaluator,model,language,answer_format,N,observed,correct,conditional_accuracy,correct_delivery,bound_low,bound_high,prefix_present,marker_present,ok,answer_unparseable,generation_truncated,generation_failed
strict,Qwen/Qwen2.5-7B-Instruct,zh,scope_explicit,136,136,59,0.4338235294117647,0.4338235294117647,0.4338235294117647,0.4338235294117647,69,136,136,0,0,0
strict,mistralai/Mistral-7B-Instruct-v0.3,en,clause_removed,136,11,4,0.36363636363636365,0.029411764705882353,0.029411764705882353,0.9485294117647058,133,133,11,122,3,0
strict,mistralai/Mistral-7B-Instruct-v0.3,en,minimal,136,1,0,0.0,0.0,0.0,0.9926470588235294,136,136,1,135,0,0
strict,mistralai/Mistral-7B-Instruct-v0.3,en,restrictive,136,69,34,0.4927536231884058,0.25,0.25,0.7426470588235294,134,134,69,65,2,0
strict,mistralai/Mistral-7B-Instruct-v0.3,en,scope_explicit,136,111,59,0.5315315315315315,0.4338235294117647,0.4338235294117647,0.6176470588235294,133,133,111,23,2,0
strict,mistralai/Mistral-7B-Instruct-v0.3,es,clause_removed,136,22,9,0.4090909090909091,0.0661764705882353,0.0661764705882353,0.9044117647058824,134,134,22,112,2,0
strict,mistralai/Mistral-7B-Instruct-v0.3,es,minimal,136,49,21,0.42857142857142855,0.15441176470588236,0.15441176470588236,0.7941176470588235,131,131,49,82,5,0
strict,mistralai/Mistral-7B-Instruct-v0.3,es,restrictive,136,53,24,0.4528301886792453,0.17647058823529413,0.17647058823529413,0.7867647058823529,130,132,53,78,5,0
strict,mistralai/Mistral-7B-Instruct-v0.3,es,scope_explicit,136,94,32,0.3404255319148936,0.23529411764705882,0.23529411764705882,0.5441176470588235,135,135,94,40,2,0
strict,mistralai/Mistral-7B-Instruct-v0.3,zh,clause_removed,136,109,45,0.41284403669724773,0.33088235294117646,0.33088235294117646,0.5294117647058824,135,135,109,25,2,0
strict,mistralai/Mistral-7B-Instruct-v0.3,zh,minimal,136,28,11,0.39285714285714285,0.08088235294117647,0.08088235294117647,0.875,134,134,28,106,2,0
strict,mistralai/Mistral-7B-Instruct-v0.3,zh,restrictive,136,111,55,0.4954954954954955,0.40441176470588236,0.40441176470588236,0.5882352941176471,131,131,111,20,5,0
strict,mistralai/Mistral-7B-Instruct-v0.3,zh,scope_explicit,136,110,41,0.37272727272727274,0.3014705882352941,0.3014705882352941,0.49264705882352944,134,134,110,23,3,0
